,numero_de_cliente
8,3333
108,5610328
351,5613512
447,5614357
1321,5619428
1322,5619493
1402,5619733
1916,5623013
2664,5628284
2974,5629978
3479,5634023
3870,5636222
3872,5636373
4254,5639738
4921,5646171
5021,5647039
5319,5649242
6100,5654332
6381,5655841
6669,5657559
7240,5660900
7632,5664169
8143,5669066
8674,5672697
8903,5674662
9137,5677035
10146,5685212
10429,5687852
10445,5687960
11521,5694744
11664,5695469
11792,5696145
11856,5696855
12284,5700042
12603,5703303
13612,5710902
15437,5725346
16118,5731929
16282,5732975
17258,5739520
17586,5741295
17979,5743827
18203,5744984
18395,5745609
20398,5758471
21982,5767714
22062,5768312
22098,5768736
22524,5772194
22589,5772619
24527,5787603
24633,5788548
24857,5789293
24979,5789671
25277,5790926
25389,5791562
25916,5794121
27398,5805424
27430,5805617
27598,5807269
27974,5809923
28332,5813242
28832,5816974
30070,5824256
30465,5826861
30508,5827096
30752,5828948
31631,5834081
32039,5837419
32414,5839811
32861,5842366
32933,5843061
33227,5844682
33630,5846650
34258,5849891
34353,5850910
34946,5856116
35896,5861819
36098,5863309
36418,5865798
36450,5865906
36653,5867666
36765,5868198
36881,5869259
37141,5871571
37393,5873227
38396,5881574
38521,5881929
38601,5882253
40120,5894474
40136,5894486
40732,5897905
41394,5901829
41586,5903091
41733,5903894
41847,5904747
42404,5908922
42520,5910450
43977,5919890
44009,5920252
44071,5921094
44515,5923938
44579,5924327
45104,5927974
45257,5928997
45529,5931216
46216,5935673
46428,5937282
47544,5943159
48363,5947867
49377,5955149
51127,5965565
51637,5968853
52235,5972484
52427,5973155
53328,5978871
53380,5979388
56039,5994526
56325,5996228
56361,5996576
56686,5998123
57547,6004182
59081,6013648
59378,6016137
59798,6018915
60540,6023411
60617,6023708
61854,6031063
61886,6031245
62926,6037496
63141,6038430
63414,6039839
64296,6045153
64300,6045326
65001,6049386
65515,6053673
66128,6056896
66320,6057768
66714,6059998
67461,6064799
67809,6066829
67933,6068411
70141,6085900
70289,6087015
70828,6092016
71742,6097658
72398,6101668
72974,6106673
73216,6108216
74120,6113970
74672,6116039
76337,6125578
77162,6129426
77306,6130213
79552,6143634
80227,6148315
80547,6150179
80818,6152348
82732,6165773
83003,6168648
83305,6171489
83664,6173600
84156,6177717
84596,6179797
85025,6182533
85217,6183911
85329,6184316
86045,6188221
87603,6197680
88120,6201697
88775,6206590
88848,6207258
89538,6211310
89848,6213255
90156,6215666
91274,6222192
91607,6224743
91852,6225785
92206,6227649
92735,6231234
93899,6238728
94194,6240445
94650,6242826
95145,6245242
95380,6246755
95919,6250355
96786,6255877
97130,6258193
97210,6259103
97830,6262928
98463,6265918
99040,6268936
99460,6271170
99849,6272953
100100,6274277
100950,6278395
101639,6282790
101787,6283716
101954,6284970
102655,6288976
102687,6289123
102719,6289215
102994,6290516
103628,6294641
103781,6295401
105203,6303605
105754,6308479
106452,6312612
106706,6314661
106805,6315217
109227,6331074
110096,6336418
110381,6338549
111637,6346074
113431,6357925
114134,6362061
114150,6362162
114246,6362787
115695,6372828
115983,6375884
116310,6377687
116615,6379257
116927,6381152
117602,6384930
118058,6387751
118138,6388449
118481,6390784
118658,6391996
119355,6395751
119925,6399428
120185,6401034
120217,6401122
120337,6401732
121132,6406787
122071,6412313
122277,6413274
122346,6413660
122474,6414540
122746,6416446
123140,6418569
123903,6424168
124083,6425619
124451,6427529
125406,6434819
126239,6440843
126460,6441927
126598,6442931
126639,6443633
126703,6443915
126851,6444930
126931,6445393
127535,6451119
128215,6457124
128372,6459166
128438,6459713
128840,6462407
129511,6466347
129989,6469160
130178,6470851
131554,6480880
132414,6486163
132778,6488112
132969,6489389
133375,6491612
134531,6499419
135097,6503417
135120,6503764
135231,6504598
136151,6509298
136438,6511123
136474,6511351
136698,6513072
137462,6518652
137556,6519185
138401,6526378
139890,6535632
141307,6544256
142389,6551064
142811,6552800
143156,6554660
143924,6559121
143972,6559237
144501,6561564
145285,6566353
145894,6570054
148502,6588693
148518,6588704
148663,6589932
148728,6590287
148864,6591599
149016,6592957
149272,6594447
149683,6597522
150454,6602531
150716,6603955
150980,6606193
151064,6606992
151155,6607440
152776,6619611
153575,6624933
153780,6625890
155561,6637027
155969,6639516
156363,6642611
157045,6645872
159557,6662967
159835,6663982
159979,6664576
160267,6665938
160801,6671924
161262,6674085
161309,6674687
161597,6677207
161893,6679071
162426,6683790
162690,6685534
163370,6690875
163727,6692905
163777,6693071
163845,6693364
164237,6695734
164588,6697914
164604,6697922
164824,6699485
165046,6700264
165207,6700774
165279,6701059
165740,6704293
166154,6707141
166398,6708785
167139,6713751
167527,6716881
167956,6719648
168178,6721813
170174,6735790
172800,6753163
173452,6756451
173694,6757624
174589,6764632
174621,6764779
175185,6768707
175443,6770290
175642,6771598
175972,6773805
176436,6776094
176514,6776468
176867,6777915
178578,6789114
179639,6794547
180720,6801991
180981,6803249
181259,6805310
182058,6810022
182442,6814251
182607,6815328
183912,6823575
184801,6829224
185108,6830629
185217,6830891
185849,6834345
186761,6840535
187223,6843449
189607,6858387
190753,6865429
191187,6868220
191646,6871206
192124,6875046
192548,6877211
193133,6880703
193728,6884917
194910,6895391
196159,6904772
196191,6905023
196758,6909156
197403,6913833
197602,6915137
197634,6915431
198660,6921424
198777,6921968
198859,6922959
199652,6928798
199837,6930650
199981,6931198
200157,6932128
200438,6933437
200484,6933838
200764,6935470
200876,6936045
201291,6939044
201735,6940695
202107,6943377
202139,6943455
202410,6945234
202442,6945411
202773,6947946
203922,6954360
203938,6954391
204018,6954924
204800,6959049
205184,6960369
205263,6961314
205601,6963471
205837,6964926
205933,6965131
206291,6967539
207681,6979795
207824,6981037
209808,6994494
209920,6995393
210397,6998102
210986,7001590
211945,7007514
212175,7008818
212502,7009914
212599,7010447
212990,7012064
212994,7012284
213058,7012801
213202,7013715
214033,7018983
214315,7020870
214657,7022661
215004,7025030
215052,7025146
215647,7028102
216459,7033292
216651,7034828
216683,7035048
217205,7038448
217290,7039000
217746,7042368
218109,7044379
218205,7044730
218314,7045159
218661,7046795
219924,7054517
220327,7057642
220407,7058017
220654,7059317
222498,7068996
222676,7070311
223379,7074498
224061,7077763
224397,7079955
224679,7081317
224839,7082035
226350,7093547
226366,7093697
226846,7096661
226952,7097209
228563,7106181
229012,7109612
229028,7109770
229338,7111603
229981,7114968
230012,7115084
230428,7118885
231171,7123253
231388,7124453
231484,7124994
231733,7125850
233153,7134919
233241,7135776
233445,7137369
234614,7144439
234822,7145894
234838,7145967
235014,7146994
236946,7157949
238651,7173490
239229,7179016
239489,7182724
239505,7182794
240362,7188216
240816,7190944
241026,7192912
241328,7195058
241360,7195362
241408,7195744
242559,7203528
243824,7211991
244349,7215522
245531,7223116
246040,7225725
246176,7226593
246484,7228913
246764,7230464
247129,7232447
247832,7237549
248043,7238564
248514,7241122
249078,7244298
249142,7244453
250327,7253298
250375,7253730
251334,7259267
251663,7261100
252165,7263512
252619,7266565
252879,7268452
253139,7269575
255101,7282912
255357,7284378
256108,7289117
256140,7289371
256641,7291482
257313,7296325
257365,7296688
257461,7297252
257637,7298185
257901,7299262
258263,7301188
258471,7302801
259410,7308377
259474,7308678
259698,7310141
261952,7322300
262799,7328085
263044,7329397
264997,7342537
266806,7356769
266947,7357483
267891,7363962
268353,7366710
268513,7367582
268728,7368867
269031,7370283
269981,7376836
270088,7377245
270427,7378900
270475,7379282
271039,7382177
271259,7383720
271390,7384951
271731,7386861
271822,7387487
271950,7388231
273141,7394344
273157,7394371
273221,7394877
273381,7396131
273563,7397520
273740,7399183
274170,7401819
274475,7403559
274539,7403810
274747,7405130
275002,7406917
275941,7414511
276832,7418984
277622,7425228
277998,7427281
278206,7428361
278613,7429831
279144,7432382
281162,7445387
281460,7446417
281508,7446873
281532,7447205
281943,7448775
281982,7449061
282471,7452758
283822,7460931
286095,7473264
286669,7478335
286745,7479111
287078,7481341
287583,7485378
287817,7486674
288037,7488330
288432,7490259
288840,7492984
289432,7497885
290108,7502492
291099,7509612
291833,7513062
292340,7516076
293813,7522864
294250,7526650
294878,7531852
295538,7536475
295634,7537115
296304,7541403
296592,7544941
296730,7546284
296887,7547349
297316,7550367
298923,7560385
300123,7567150
300398,7569435
300646,7571036
303177,7587275
303289,7587661
303687,7589868
304028,7592643
305783,7603151
305909,7603926
306038,7604463
306329,7606423
306657,7608908
307183,7612011
307656,7614079
307894,7615322
308272,7617525
308879,7622770
308895,7622859
308927,7623106
309766,7628076
309998,7628948
310739,7633814
311176,7638480
313099,7651542
313130,7651701
313796,7657262
315069,7665543
315292,7667600
316966,7679208
317110,7679945
318496,7690167
319508,7697569
319558,7697696
319847,7699556
320202,7701594
321023,7707394
321294,7710639
322292,7717659
323063,7721468
323111,7721888
323461,7724659
323493,7725338
323780,7727094
323796,7727291
324675,7733199
324691,7733550
325223,7736599
325329,7737625
325567,7738351
326798,7747566
327822,7753968
327838,7754007
328092,7755878
328294,7757526
328941,7762014
329587,7768756
329864,7770184
330092,7771530
330205,7772264
332621,7785492
333173,7788363
333535,7791099
334124,7795032
334722,7798918
335069,7801233
335927,7806169
336505,7812393
336628,7813146
337342,7817669
338822,7826830
342515,7849856
343251,7854317
343439,7855340
343783,7857987
343799,7858022
344454,7862302
344498,7862599
345408,7868056
345684,7870000
346022,7871587
346250,7873682
347266,7881454
347330,7881736
347739,7883793
349313,7893189
349393,7893328
350293,7898955
350661,7901806
351439,7905171
351803,7908502
352099,7911581
353214,7918412
353269,7918925
353313,7919095
353874,7923289
354125,7925223
354198,7925836
354214,7925910
354794,7931436
355421,7936877
355498,7937572
355769,7939983
355965,7940562
356029,7940879
356314,7943337
356496,7946027
357422,7954154
357688,7956315
357852,7958202
358076,7960247
359086,7969408
360004,7976586
360355,7979488
361346,7986878
362445,7993396
362593,7994268
362775,7994928
363412,7998609
364829,8010812
365209,8014153
365920,8020845
365980,8021107
366709,8025665
367469,8031079
367517,8031226
367677,8032167
367960,8033734
368506,8037404
368729,8039117
368745,8039453
368777,8039642
370731,8051536
371264,8055645
374249,8075465
374413,8076503
375056,8081080
375136,8081447
375188,8081489
375660,8083395
375692,8083538
376505,8089832
377256,8094660
377448,8096450
378376,8103489
378446,8104304
378580,8105226
378763,8106275
380609,8115830
381329,8121129
381700,8123533
381812,8124355
382027,8125420
382209,8127392
383352,8135257
383541,8136530
383759,8138502
384712,8144198
384796,8144696
385515,8148898
385742,8149921
387063,8158526
388119,8166642
389205,8173256
389245,8173704
389609,8176486
390139,8180268
390315,8182055
390524,8184123
392833,8198880
393039,8199721
394837,8209948
395196,8212074
396596,8221173
397747,8232206
398277,8235282
398388,8235973
398885,8240055
398933,8240441
399853,8245296
400109,8246550
400382,8248155
400455,8248676
401383,8254511
402193,8258810
402397,8260145
402682,8261195
402790,8261465
403491,8266385
404122,8270194
405016,8274721
405177,8275616
405893,8280089
406195,8282022
407562,8289921
407667,8290377
407773,8290890
407857,8291484
408133,8293086
408676,8296779
408910,8298160
410062,8306029
410532,8309695
410565,8309915
411246,8315044
412203,8323668
412382,8325127
412495,8325945
412591,8326323
412842,8328017
413343,8330769
413423,8331008
413704,8332888
413832,8333385
415400,8341921
415581,8343658
416010,8345896
416124,8346371
417097,8350863
417508,8352649
418130,8356582
418266,8357273
420572,8368934
420588,8368954
420636,8369039
420764,8369965
422274,8380291
422836,8383884
423021,8384602
423261,8386288
423425,8387303
424237,8392374
425062,8397298
425433,8399347
425663,8400459
425928,8402106
426297,8405649
426500,8406938
426564,8407366
426884,8408775
427391,8412433
427707,8413768
428272,8417122
428460,8418210
428492,8418260
428588,8418843
428938,8421135
430350,8430898
430604,8433283
430608,8433295
430987,8436776
431646,8440507
431867,8442151
432013,8442749
432381,8445331
432827,8448769
432939,8449236
433395,8451475
434126,8455561
434708,8459440
435024,8462311
435204,8463229
435304,8463854
436391,8471873
436439,8472093
436523,8472437
437063,8476554
437095,8477025
437801,8481293
438675,8487317
438959,8489104
439263,8491689
441079,8503343
441337,8505775
441787,8508341
441844,8508719
442934,8513385
443297,8516395
443523,8518444
444040,8521596
445265,8527586
445683,8529832
446051,8532120
446668,8535601
446938,8537125
447878,8544218
447894,8544284
449271,8549868
449845,8554961
450473,8558014
451011,8561267
451493,8563629
452304,8568290
452833,8571030
452837,8571304
454418,8583456
454546,8583942
455207,8587967
455407,8588921
455692,8590854
456363,8594505
456561,8595126
456755,8596673
456803,8596951
457518,8602724
457566,8603149
457870,8605653
459280,8615799
459858,8620487
460452,8623490
460664,8624763
460808,8625176
461684,8630744
462390,8634345
464392,8645783
465468,8653096
465576,8653659
466619,8661636
466720,8662612
466976,8664831
467627,8671484
467883,8672993
468158,8674301
468967,8679221
470053,8685129
471948,8696926
472140,8698165
473833,8708735
474988,8716545
475209,8717946
476918,8731399
477249,8733486
477275,8733575
477457,8734783
477777,8736280
478093,8737677
480126,8752160
480222,8752376
481056,8757505
481104,8758678
481120,8758782
481269,8760465
482183,8765752
484955,8782851
485351,8785757
485579,8787320
486010,8790002
486326,8792259
486406,8792556
486683,8794949
486735,8795234
487275,8798507
487667,8801683
488422,8805877
489884,8814830
490197,8816625
490728,8819604
492057,8828657
493021,8836144
493099,8836487
493274,8838069
493934,8843051
494637,8848566
494816,8849627
495753,8855666
496122,8858260
496317,8860247
496506,8861879
496570,8862311
497242,8868324
497290,8868621
497513,8869883
497577,8870523
498151,8874977
498304,8875691
499059,8879507
499833,8884088
500067,8884698
500272,8886249
500314,8886430
502058,8895179
502170,8895946
502375,8897482
502404,8897679
502589,8898721
503409,8903780
503710,8905880
503742,8905903
504158,8907527
504878,8911618
505256,8914655
505346,8914894
505934,8918302
506496,8921659
506698,8922813
508187,8933221
510294,8945195
511266,8955248
511590,8957359
511669,8957617
512172,8960072
512599,8962059
512711,8963197
513018,8965493
513720,8969298
516144,8986027
516830,8991947
517174,8993668
517430,8995227
518228,9000857
519614,9010906
520061,9014317
520384,9016714
521228,9023274
521504,9025192
521775,9026489
522939,9033639
523321,9035345
523561,9037012
523595,9037394
523739,9038564
524532,9042704
525911,9051109
526021,9051939
526149,9052788
526213,9052981
527528,9062513
527668,9063265
529125,9073356
529727,9076061
529807,9076216
531603,9090587
531777,9092134
532664,9096943
533463,9101311
534388,9106918
534656,9108774
534881,9109905
535157,9112791
535229,9113320
535550,9115647
535756,9117380
536371,9121613
536455,9122041
537212,9126769
537216,9126773
537664,9131353
537893,9132893
538165,9134803
538267,9136104
538885,9142660
539691,9148796
541042,9159207
542330,9167462
543675,9177221
543902,9178298
545579,9188860
545643,9189335
545707,9189531
546548,9197118
546820,9199314
547228,9201467
548021,9207653
548319,9209479
548610,9210779
550382,9220716
550902,9223414
551113,9224533
551291,9226157
552028,9230846
553302,9239019
553663,9241041
554863,9249014
554991,9249778
555947,9256458
556900,9263304
556916,9263628
558096,9270505
558708,9274534
558896,9275329
559124,9277096
559236,9277852
559268,9277960
559396,9279029
559842,9282834
560335,9286277
560500,9287199
561693,9293975
561853,9295801
561933,9296407
562064,9296985
562567,9299393
562851,9300462
563433,9302878
564399,9309670
564447,9309809
565507,9318677
566288,9323612
566853,9327182
567024,9328811
567438,9331979
567535,9332793
567567,9333133
568556,9341429
569368,9348345
570818,9359270
570835,9359351
570983,9359895
571360,9362457
571767,9364969
572155,9368145
572875,9373424
573586,9379614
573833,9380814
573911,9381139
574201,9382574
574217,9382864
574466,9384909
574609,9386514
574662,9386788
575104,9389902
575543,9393499
576264,9399345
578875,9417602
579054,9418517
579272,9419829
579536,9421836
579854,9424792
579995,9425560
581364,9436511
581556,9437831
581672,9438634
581800,9439795
583070,9449308
583741,9453722
583948,9455285
584137,9457007
584891,9461487
585161,9462876
585414,9465435
586015,9469791
586175,9470609
586410,9472771
587069,9476900
587277,9478351
587620,9480126
587924,9481712
588442,9484930
588822,9487145
588832,9487199
591336,9503658
592670,9511831
593094,9514347
593367,9517608
593463,9518187
594161,9522806
594344,9523709
594488,9524419
595677,9533233
595986,9535580
596388,9538756
596727,9541573
597685,9548727
598019,9551135
598786,9556854
598906,9557614
600235,9565780
600504,9567023
600850,9569157
602359,9579233
602571,9580491
603575,9586522
604283,9592674
605334,9598925
605554,9600141
606537,9607982
606601,9608179
606878,9610568
607101,9611776
607508,9615330
607933,9618838
608731,9623252
608783,9624425
608981,9625379
609468,9629137
609898,9631761
609988,9632441
610399,9634933
610627,9636616
610806,9637488
611090,9641042
611792,9647286
611888,9648023
612163,9650613
612347,9651477
613074,9656860
613889,9660384
614017,9661182
614387,9662927
614419,9663166
616074,9672366
616220,9673284
616316,9673639
616417,9674423
616737,9676298
617035,9677707
617468,9680419
617639,9680994
618415,9684992
619019,9688983
619035,9689010
619373,9691545
620046,9694130
620062,9694134
620125,9694516
620205,9694968
620369,9696268
620610,9697430
621268,9701393
621710,9704882
622875,9712391
623096,9714051
624395,9722548
625474,9729946
625708,9731096
625851,9731817
626466,9735001
626746,9736884
626810,9737193
626886,9737564
627002,9738162
627311,9740562
627896,9744143
627992,9745366
629038,9750101
630000,9756168
630121,9756882
630890,9761165
631861,9768821
632895,9773394
634580,9783779
635476,9788089
636002,9791918
637096,9797938
638724,9807805
639708,9812802
640056,9815222
641177,9821782
641427,9823330
641852,9825526
642405,9828844
642756,9830295
642915,9831090
643804,9835050
643820,9835154
645015,9845330
645335,9847680
645367,9847831
645545,9849540
645777,9851520
645879,9852380
646013,9853669
646282,9855433
646362,9856521
647273,9863205
647704,9866855
648513,9871664
648565,9872185
648661,9872845
648736,9873431
648941,9874824
650649,9887208
650681,9887474
652494,9902872
652700,9905237
653131,9907286
654975,9915105
655601,9918902
655833,9920472
656330,9922931
657544,9930676
657977,9933068
658895,9939262
659225,9940566
659449,9941697
659607,9942743
659960,9944634
659977,9944780
661492,9954872
661657,9955744
661906,9957746
663808,9969524
664391,9972507
664986,9976991
665018,9977041
666145,9983922
666816,9987804
666912,9988696
666928,9988869
667963,9998941
668443,10003429
668780,10005737
669429,10009554
669493,10009774
669806,10013470
671073,10022829
671189,10023708
672405,10030720
672635,10032650
673438,10038361
674457,10044223
675450,10052103
675510,10053550
675526,10053627
675558,10053928
676157,10058351
676561,10061183
677059,10065494
677895,10072409
677959,10072741
678040,10073219
679060,10078931
679401,10081937
679621,10083658
679775,10084241
682110,10101506
682321,10102984
682481,10103752
682561,10104030
682914,10105766
683122,10106665
683429,10109286
683525,10110343
684787,10119041
685002,10120986
685221,10122252
685591,10125856
686094,10130066
686281,10131980
687453,10138799
687608,10139980
687743,10140933
687936,10142261
688902,10148601
688980,10149338
689609,10155100
689760,10156921
690089,10159225
690245,10160051
690282,10160552
690511,10163373
690917,10166812
691019,10167475
693753,10183679
694121,10185655
694237,10186365
694534,10187978
695793,10196179
696904,10203109
698260,10211719
698582,10213000
699727,10219406
700645,10226128
701374,10233048
701566,10234128
701733,10235162
701868,10236532
702478,10240576
702526,10240731
702546,10240885
703111,10243880
703159,10244320
704003,10249772
704802,10255955
705852,10263051
707061,10270206
707185,10270873
707251,10271205
707941,10275651
708165,10276751
708578,10279541
709629,10287232
709645,10287263
709922,10288513
710181,10291052
711026,10297385
711204,10298519
711526,10301124
711542,10301182
711763,10302780
711951,10304404
712233,10307441
712639,10309826
713062,10312485
713234,10313485
714066,10321137
714182,10321808
714246,10322140
714404,10323406
715041,10327886
715059,10328025
715797,10332880
716644,10339259
716905,10340810
717197,10342230
717217,10342643
718046,10347729
718281,10350944
718965,10356802
719233,10358457
719313,10358928
719425,10360279
719746,10362150
719778,10362378
720004,10363536
720100,10363914
720606,10367264
721289,10371099
721620,10374175
721740,10375059
721776,10375155
722227,10378405
723954,10388940
724242,10390302
724569,10392860
725048,10395056
725224,10396357
726152,10400779
726296,10401315
727432,10408929
727898,10412549
727918,10412873
728101,10413792
729136,10418920
729152,10418936
729552,10421050
729685,10421857
730318,10424801
730898,10428587
732348,10437760
732585,10439519
732777,10440179
733019,10441997
733035,10442059
735287,10455469
735407,10456399
735523,10456592
736139,10460088
736967,10465765
737475,10469801
737740,10471765
738930,10479043
739139,10480035
739290,10481428
739767,10484917
739799,10485175
739915,10486356
740192,10488509
742515,10503004
743262,10507901
743334,10508418
744690,10516020
746090,10526382
746250,10526999
747251,10534941
747936,10539136
748238,10540633
748855,10543932
749121,10546121
749631,10548756
749647,10548760
750712,10554498
750814,10554907
751054,10557234
751640,10559951
753097,10568877
753172,10569788
754163,10576232
755391,10585633
755406,10585695
755535,10586771
755650,10587744
755824,10589102
756174,10591811
756190,10591892
757713,10605464
758051,10606981
758295,10608439
759030,10612592
759290,10614664
759810,10617929
760620,10622367
760995,10624809
763382,10637671
764020,10641218
764284,10642082
764978,10646339
766017,10654701
766813,10660478
767043,10662435
767144,10663033
767419,10665622
767974,10668393
768331,10670573
768363,10670623
768513,10671804
768672,10672661
769124,10674787
769975,10679947
770039,10680140
770597,10683539
770945,10686495
771288,10689023
771480,10689629
772211,10694298
772371,10695510
772582,10696429
772674,10696992
773573,10702862
773701,10703232
776224,10717483
776302,10718112
777996,10727717
779757,10737369
779805,10737631
780136,10739715
781151,10746345
781228,10747136
781324,10747448
781340,10747529
781452,10747911
781584,10748363
782482,10752758
783090,10758875
783684,10763359
783963,10765130
784201,10766419
784269,10766987
784538,10768603
785913,10776634
786021,10777051
787996,10792907
788173,10793945
788395,10795014
788483,10795562
789040,10798414
789407,10800193
789752,10801999
790019,10804427
790285,10805611
790752,10808085
791614,10813082
792709,10819006
793422,10822197
793486,10822637
793646,10823652
794108,10826882
794208,10827330
795982,10840801
796327,10842488
796792,10845818
796891,10846308
797587,10850545
797926,10852043
798179,10853146
798284,10853718
799159,10859178
799498,10860826
799514,10860945
801085,10871878
802207,10881475
802363,10882266
803017,10887167
804888,10899790
806178,10907852
806732,10911498
807203,10914740
807569,10918228
807693,10918699
808526,10923955
809357,10930732
809637,10932707
810493,10937859
810698,10939291
810779,10940167
811331,10945515
812117,10953025
812608,10957417
812749,10959392
813065,10961754
814838,10973976
815046,10975164
815588,10978429
815815,10979799
816063,10981809
816171,10982184
816891,10987019
817209,10988165
817472,10990284
818250,10994482
818266,10994544
818459,10995733
818475,10995756
818523,10995953
819107,11000078
819317,11001498
819594,11003590
820834,11013241
821458,11016479
822437,11023324
823757,11036885
